,datetime,humidity,precipcover,windspeed,cloudcover,visibility,location,sunrise_time,sunset_time,Port of Spain precip mm,tempmax c,tempmin c,avgtemp c,feelslikemax c,feelslikemin c,avgfeelsliketemp c,dewpoint c
105,2000-04-21,75.9,0.0,16.1,84.8,7.8,Port of Spain,05:51:59,18:17:27,0.0,31.3,23.8,26.9,34.4,23.8,28.2,22.0
106,2000-04-22,77.7,0.0,16.1,85.7,6.2,Port of Spain,05:51:31,18:17:32,1.5239999999999998,32.1,24.7,27.6,37.1,24.7,29.7,23.2
107,2000-04-23,76.9,0.0,17.2,77.4,7.2,Port of Spain,05:51:04,18:17:37,0.0,32.1,24.7,27.7,36.9,24.7,29.9,23.1
108,2000-04-24,76.7,0.0,18.3,69.5,6.3,Port of Spain,05:50:37,18:17:42,4.0005,32.2,25.1,27.7,36.8,25.1,29.7,23.1
109,2000-04-25,73.5,0.0,18.3,42.2,5.2,Port of Spain,05:50:11,18:17:48,0.24764999999999998,32.1,25.1,27.9,36.9,25.1,29.8,22.5
110,2000-04-26,74.3,0.0,19.5,74.2,3.7,Port of Spain,05:49:46,18:17:53,0.7493,31.1,24.7,27.7,34.7,24.7,29.5,22.5
111,2000-04-27,75.5,0.0,17.2,57.0,4.9,Port of Spain,05:49:21,18:18:00,0.24764999999999998,32.1,24.1,27.4,35.9,24.1,29.2,22.5
112,2000-04-28,74.1,0.0,16.1,35.0,6.4,Port of Spain,05:48:57,18:18:06,0.24764999999999998,31.3,23.1,27.1,34.4,23.1,28.3,21.7
113,2000-04-29,73.3,0.0,16.1,34.3,7.6,Port of Spain,05:48:33,18:18:13,0.0,32.1,23.1,26.9,34.3,23.1,28.1,21.3
114,2000-04-30,74.4,0.0,15.0,44.3,8.8,Port of Spain,05:48:11,18:18:21,0.5016499999999999,32.1,23.1,27.0,35.0,23.1,28.1,21.7
115,2000-05-01,76.1,0.0,16.1,51.9,8.8,Port of Spain,05:47:48,18:18:29,1.2192,33.1,23.1,27.1,37.2,23.1,28.7,22.1
116,2000-05-02,73.9,0.0,16.1,46.5,7.2,Port of Spain,05:47:27,18:18:37,7.49935,32.8,24.1,27.9,36.0,24.1,29.8,22.5
117,2000-05-03,84.5,0.0,16.1,71.7,5.7,Port of Spain,05:47:06,18:18:45,0.5206999999999999,31.1,24.7,27.1,36.7,24.7,29.4,24.2
118,2000-05-04,85.9,0.0,16.1,76.0,6.3,Port of Spain,05:46:46,18:18:54,0.0,31.1,24.7,26.7,36.7,24.7,28.8,24.1
119,2000-05-06,94.1,0.0,0.0,90.0,6.8,Port of Spain,05:46:09,18:19:13,2.0256499999999997,23.1,23.1,23.1,23.1,23.1,23.1,22.1
120,2000-05-08,86.5,0.0,13.9,70.0,8.6,Port of Spain,05:45:34,18:19:34,0.32384999999999997,31.1,23.1,25.7,35.6,23.1,26.9,23.0
121,2000-05-11,90.5,0.0,13.9,93.8,4.0,Port of Spain,05:44:47,18:20:07,0.0,28.3,24.1,25.9,33.2,24.1,26.9,24.2
122,2000-05-12,81.8,0.0,11.4,90.0,6.9,Port of Spain,05:44:34,18:20:19,1.5239999999999998,32.1,25.1,27.6,38.1,25.1,29.9,24.0
123,2000-05-13,80.5,0.0,15.0,42.5,8.8,Port of Spain,05:44:20,18:20:31,0.5016499999999999,32.1,24.1,27.4,36.9,24.1,29.3,23.5
124,2000-05-14,78.5,0.0,18.3,82.3,7.5,Port of Spain,05:44:08,18:20:44,2.72415,31.8,24.1,27.6,36.9,24.1,30.1,23.4
125,2000-05-15,89.0,0.0,6.9,83.3,6.8,Port of Spain,05:43:57,18:20:57,2.1018499999999998,27.1,24.6,25.7,30.2,24.6,26.1,23.7
126,2000-05-16,78.3,0.0,17.2,88.3,5.7,Port of Spain,05:43:46,18:21:10,10.54735,32.1,23.8,27.8,38.1,23.8,30.1,23.4
127,2000-05-17,78.0,0.0,16.1,67.5,6.5,Port of Spain,05:43:36,18:21:23,0.0762,33.1,24.1,27.8,37.2,24.1,29.9,23.2
128,2000-05-18,73.9,0.0,15.0,57.1,8.2,Port of Spain,05:43:27,18:21:37,1.4732,32.1,22.7,27.9,36.7,22.7,30.0,22.6
129,2000-05-19,78.8,0.0,15.0,76.7,6.9,Port of Spain,05:43:19,18:21:51,2.87655,32.3,24.1,28.0,38.4,24.1,31.1,23.8
130,2000-05-20,81.9,0.0,16.1,76.8,6.6,Port of Spain,05:43:11,18:22:06,0.0762,32.3,24.1,27.4,38.4,24.1,29.9,23.8
131,2000-05-21,80.0,0.0,16.1,90.0,6.4,Port of Spain,05:43:05,18:22:20,0.0762,32.1,25.1,28.1,38.1,25.1,30.9,24.1
132,2000-05-22,76.7,0.0,16.1,62.1,7.1,Port of Spain,05:42:59,18:22:35,0.0,33.1,25.1,28.3,38.2,25.1,30.8,23.6
133,2000-05-23,86.3,0.0,15.0,82.4,6.3,Port of Spain,05:42:54,18:22:50,0.1524,31.1,24.1,26.4,36.7,24.1,27.9,23.9
134,2000-05-24,89.8,0.0,10.3,70.8,6.4,Port of Spain,05:42:49,18:23:06,12.63015,30.1,24.1,26.4,36.3,24.1,28.7,24.6
135,2000-05-25,75.4,0.0,16.1,67.4,9.2,Port of Spain,05:42:46,18:23:21,0.0762,32.1,24.1,27.8,35.9,24.1,29.4,22.7
136,2000-05-26,71.7,0.0,18.3,80.9,8.6,Port of Spain,05:42:43,18:23:37,0.5016499999999999,32.2,25.8,28.4,36.9,25.8,30.6,22.7
137,2000-05-27,77.6,0.0,15.0,69.6,8.1,Port of Spain,05:42:41,18:23:53,3.7464999999999997,33.1,23.3,28.1,38.2,23.3,30.7,23.5
138,2000-05-28,86.6,0.0,15.0,70.9,6.4,Port of Spain,05:42:40,18:24:09,9.652000000000001,32.1,24.7,26.9,38.1,24.7,29.0,24.3
139,2000-05-29,90.7,0.0,11.4,92.9,5.4,Port of Spain,05:42:40,18:24:25,0.62865,29.1,25.1,26.3,34.7,25.1,27.3,24.7
140,2000-05-30,90.2,0.0,16.1,95.2,5.3,Port of Spain,05:42:40,18:24:41,5.20065,30.1,24.1,26.3,36.3,24.1,27.4,24.5
141,2000-05-31,81.2,0.0,17.2,77.5,5.1,Port of Spain,05:42:41,18:24:58,3.42265,31.3,26.1,28.0,36.7,26.1,31.2,24.3
142,2000-06-01,80.7,0.0,16.1,76.1,6.6,Port of Spain,05:42:43,18:25:14,14.15415,32.1,25.2,27.7,38.1,25.2,30.0,23.9
143,2000-06-02,88.2,0.0,21.9,80.4,5.9,Port of Spain,05:42:45,18:25:30,11.150599999999999,31.3,24.2,26.2,36.8,24.2,27.4,24.1
144,2000-06-03,85.0,0.0,16.1,73.8,5.6,Port of Spain,05:42:49,18:25:47,40.957499999999996,31.7,24.1,27.3,37.9,24.1,29.9,24.3
145,2000-06-04,78.8,0.0,19.5,60.9,5.3,Port of Spain,05:42:53,18:26:03,6.4262,31.2,24.7,27.8,35.8,24.7,29.9,23.6
146,2000-06-05,76.0,0.0,18.3,52.3,5.1,Port of Spain,05:42:57,18:26:20,4.1465499999999995,32.2,25.1,28.1,38.1,25.1,30.5,23.2
147,2000-06-06,88.8,0.0,13.9,75.8,6.5,Port of Spain,05:43:03,18:26:36,2.2986999999999997,31.1,24.1,26.6,37.9,24.1,28.8,24.6
148,2000-06-07,91.6,0.0,13.9,96.3,5.1,Port of Spain,05:43:08,18:26:53,15.297149999999998,28.1,23.8,25.6,32.1,23.8,26.6,24.1
149,2000-06-08,90.4,0.0,13.9,87.5,5.7,Port of Spain,05:43:15,18:27:09,3.95605,29.1,24.1,25.9,34.7,24.1,27.5,24.2
150,2000-06-09,81.0,0.0,18.3,84.8,6.4,Port of Spain,05:43:22,18:27:25,0.57785,31.1,24.7,27.4,36.7,24.7,29.7,23.7
151,2000-06-10,74.1,0.0,15.0,69.6,7.7,Port of Spain,05:43:30,18:27:41,0.9461499999999999,32.1,24.1,27.8,36.9,24.1,29.7,22.4
152,2000-06-11,92.3,0.0,16.1,85.4,6.0,Port of Spain,05:43:38,18:27:57,0.7493,28.1,24.1,26.1,33.7,24.1,27.7,24.7
153,2000-06-12,78.6,0.0,16.1,87.4,6.8,Port of Spain,05:43:47,18:28:13,3.0225999999999997,31.3,25.1,27.7,35.6,25.1,30.2,23.5
154,2000-06-13,82.2,0.0,20.8,81.3,5.6,Port of Spain,05:43:57,18:28:28,13.59535,29.7,25.1,27.3,34.9,25.1,30.1,24.0
155,2000-06-14,74.6,0.0,21.9,66.7,7.6,Port of Spain,05:44:07,18:28:43,9.12495,32.1,24.1,27.6,35.2,24.1,29.2,22.3
156,2000-06-15,88.4,0.0,20.8,81.7,6.0,Port of Spain,05:44:17,18:28:58,0.0,30.1,23.6,25.8,35.2,23.6,26.9,23.7
157,2000-06-16,88.1,0.0,17.2,80.0,5.4,Port of Spain,05:44:28,18:29:13,0.99695,31.1,24.8,27.1,37.9,24.8,29.5,24.8
158,2000-06-17,77.9,0.0,21.9,88.2,7.2,Port of Spain,05:44:39,18:29:27,3.42265,31.3,25.1,28.1,36.7,25.1,30.9,23.7
159,2000-06-18,73.9,0.0,24.2,83.8,6.2,Port of Spain,05:44:51,18:29:41,3.0734,32.1,26.1,28.4,36.9,26.1,31.1,23.2
160,2000-06-19,76.4,0.0,18.3,83.0,7.7,Port of Spain,05:45:03,18:29:55,5.1244499999999995,32.1,24.1,27.7,36.3,24.1,29.4,22.9
161,2000-06-20,80.1,0.0,18.3,85.2,7.3,Port of Spain,05:45:16,18:30:08,27.432,31.1,25.1,27.5,36.8,25.1,29.7,23.6
